name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files,node_version,pkg_manager,package,version_from,version_to
action-version,boilerz,https://github.com/boilerz/action-version/pull/41,⬆️ Bump @octokit/openapi-types from 6.0.0 to 7.0.0,41,dependabot/npm_and_yarn/octokit/openapi-types-7.0.0,afd2ebcb7ba847b3ae2b377f7663a311f6b6a81e,closed,true,2,5,14,yarn,@octokit/openapi-types,6.0.0,7.0.0
readthedocs-action,KengoTODA,https://github.com/KengoTODA/readthedocs-action/pull/627,build(deps): bump @actions/github from 4.0.0 to 5.0.0,627,dependabot/npm_and_yarn/actions/github-5.0.0,a695e8e083a1af1ac7dcee0140309acc67ed758a,closed,true,2,6,12,npm,@actions/github,4.0.0,5.0.0
lowmess.com,lowmess,https://github.com/lowmess/lowmess.com/pull/534,⬆️ Bump next from 11.1.2 to 12.0.7,534,dependabot/npm_and_yarn/develop/next-12.0.7,7d307ca1cfe78046c3890017c462b903d7d04d31,closed,true,7,6,14,npm,next,11.1.2,12.0.7
relaynet-pong,relaycorp,https://github.com/relaycorp/relaynet-pong/pull/438,chore(deps-dev): Bump @relaycorp/relaynet-testing from 1.3.0 to 2.0.1,438,dependabot/npm_and_yarn/relaycorp/relaynet-testing-2.0.1,0a99d54ad450cac1348d1843d71755348bc7b55f,closed,true,4,6,16,npm,@relaycorp/relaynet-testing,1.3.0,2.0.1
eslint-config,ridedott,https://github.com/ridedott/eslint-config/pull/753,chore(deps): bump eslint-config-prettier from 6.15.0 to 7.2.0,753,dependabot/npm_and_yarn/eslint-config-prettier-7.2.0,131ce6bbe12ffcec97c5ce56cfebde65176e3bb6,closed,true,3,6,12,npm,eslint-config-prettier,6.15.0,7.2.0
action-version,boilerz,https://github.com/boilerz/action-version/pull/47,⬆️ Bump @actions/github from 4.0.0 to 5.0.0,47,dependabot/npm_and_yarn/actions/github-5.0.0,b76a232add18898005593c5917c658cdbea79e54,closed,true,2,7,14,yarn,@actions/github,4.0.0,5.0.0
avalanchejs,ava-labs,https://github.com/ava-labs/avalanchejs/pull/290,Bump bech32 from 1.1.4 to 2.0.0,290,dependabot/npm_and_yarn/development/bech32-2.0.0,e3ee52bf7cacbe3bd03ae52232e9e59f27b8a566,closed,true,5,7,12.14.1,yarn,bech32,1.1.4,2.0.0
action-release,boilerz,https://github.com/boilerz/action-release/pull/120,⬆️ Bump @actions/github from 4.0.0 to 5.0.0,120,dependabot/npm_and_yarn/actions/github-5.0.0,3f38dec9388146866031369c4a78c7a2c8e8cee2,closed,true,2,7,14,yarn,@actions/github,4.0.0,5.0.0
bezier-react,channel-io,https://github.com/channel-io/bezier-react/pull/442,[Dependency]: Bump ssr-window from 2.0.0 to 3.0.0,442,dependabot/npm_and_yarn/exp/ssr-window-3.0.0,0119d0b9d82dc368d203bcdcf15c0e059235717f,closed,true,3,8,v12.18.0,npm,ssr-window,2.0.0,3.0.0
componette-site,contributte,https://github.com/contributte/componette-site/pull/378,Bump alpinejs from 2.8.2 to 3.2.2,378,dependabot/npm_and_yarn/alpinejs-3.2.2,3913477b8474eca32f158b4755b798db177fdb5c,closed,true,2,9,16.0.0,npm,alpinejs,2.8.2,3.2.2
pixiebrix-extension,pixiebrix,https://github.com/pixiebrix/pixiebrix-extension/pull/2138,Bump webext-detect-page from 3.1.0 to 4.0.0,2138,dependabot/npm_and_yarn/webext-detect-page-4.0.0,1a6499b1ce52f2e959e223c220142ca28e757324,closed,true,4,12,stable,npm,webext-detect-page,3.1.0,4.0.0
paas-admin,alphagov,https://github.com/alphagov/paas-admin/pull/1143,Bump nock from 12.0.3 to 13.0.7,1143,dependabot/npm_and_yarn/nock-13.0.7,ee81d1a1e8abc2917a69f83654d7fe93c3e049ae,closed,true,2,14,lts/Erbium,npm,nock,12.0.3,13.0.7
joi-to-typescript,mrjono1,https://github.com/mrjono1/joi-to-typescript/pull/39,Bump prettier from 1.19.1 to 2.2.1,39,dependabot/npm_and_yarn/prettier-2.2.1,2abd056ef0a86381b53faba6ed6b9ee2c94b4f18,closed,true,2,15,12,yarn,prettier,1.19.1,2.2.1
