name,owner,prUrl,prTitle,number,branchName,baseCommit,event,merged,commits,changedFiles
SpringSecurity-Example,MangKyu,https://github.com/MangKyu/SpringSecurity-Example/pull/5,Bump webpack-dev-server from 2.11.5 to 3.1.11 in /frontend,5,dependabot/npm_and_yarn/frontend/webpack-dev-server-3.1.11,0321617e5f38f1a0e3ed8fe7b56d2e5f60ccbe58,closed,true,9,16
zowe-cli,zowe,https://github.com/zowe/zowe-cli/pull/980,Bump madge from 3.12.0 to 4.0.1,980,dependabot/npm_and_yarn/madge-4.0.1,935c6ecbbd2475bc2031fb93c0436a68cac9d8fe,closed,true,2,22
tasks,nextcloud,https://github.com/nextcloud/tasks/pull/1870,Bump vue-material-design-icons from 4.13.0 to 5.0.0,1870,dependabot/npm_and_yarn/vue-material-design-icons-5.0.0,93e393db884e37ae46c40870d22ebe040ff7df64,closed,true,3,16
officelife-documentation,djaiss,https://github.com/djaiss/officelife-documentation/pull/31,chore(deps-dev): bump highlight.js from 9.18.1 to 10.1.2,31,dependabot/npm_and_yarn/highlight.js-10.1.2,a1ee34d7fa81f81c29137d36099eab7d62a8c51a,closed,true,2,34
vrembem,sebnitu,https://github.com/sebnitu/vrembem/pull/757,chore(deps-dev): bump stylelint from 13.13.1 to 14.1.0,757,dependabot/npm_and_yarn/stylelint-14.1.0,012829568f82ed6fcf84ebca4075950e9f4ce314,closed,true,11,25
ranger-ims-web,burningmantech,https://github.com/burningmantech/ranger-ims-web/pull/70,Bump react-router-dom from 5.3.0 to 6.0.2,70,dependabot/npm_and_yarn/react-router-dom-6.0.2,6f93354050ddab419a23d0804d609d3d3aeac13e,closed,true,26,22
frontend,ilios,https://github.com/ilios/frontend/pull/5898,Bump ember-template-lint from 2.21.0 to 3.0.0,5898,dependabot/npm_and_yarn/ember-template-lint-3.0.0,c55bdbb97ca616b3067e3f5ab4b7130480e6bd68,closed,true,3,321
lighthouse-viewer,dvelasquez,https://github.com/dvelasquez/lighthouse-viewer/pull/373,chore(deps-dev): bump lighthouse from 7.5.0 to 8.0.0,373,dependabot/npm_and_yarn/lighthouse-8.0.0,f6ef51de227aaade40aea3cf60be79e5936c07f3,closed,true,5,27
PersonalWebsite,ChrisW-B,https://github.com/ChrisW-B/PersonalWebsite/pull/306,build(deps-dev): bump webpack-cli from 3.3.12 to 4.4.0,306,dependabot/npm_and_yarn/webpack-cli-4.4.0,0fd574807eaf51969599dc78a86065261e9d048f,closed,true,9,46
studio,foxglove,https://github.com/foxglove/studio/pull/837,Bump react-mosaic-component from 4.1.1 to 5.0.0,837,dependabot/npm_and_yarn/react-mosaic-component-5.0.0,b7b42f82184f1e8c43e9bf6d2841e8d4da38432f,closed,true,6,18
nestjs-components,algoan,https://github.com/algoan/nestjs-components/pull/254,chore(deps): bump @nestjs/common from 7.6.15 to 8.0.4,254,dependabot/npm_and_yarn/nestjs/common-8.0.4,dc47be55dc5a0caef702c34b0ee328ec6096b8a7,closed,true,7,17
spreed,nextcloud,https://github.com/nextcloud/spreed/pull/6113,Bump @nextcloud/eslint-config from 5.1.0 to 6.1.0,6113,dependabot/npm_and_yarn/nextcloud/eslint-config-6.1.0,b731719aa0e8bd2c2566c9bef5d9a7bd0acb6553,closed,true,4,145
ember-simple-charts,ilios,https://github.com/ilios/ember-simple-charts/pull/578,[breaking] Bump ember-template-lint from 2.21.0 to 3.1.1,578,dependabot/npm_and_yarn/ember-template-lint-3.1.1,987e9d8e65d325743a2bc64ebe6dab99c8a72730,closed,true,11,34
viewer,nextcloud,https://github.com/nextcloud/viewer/pull/973,build(deps): bump @nextcloud/vue from 3.9.0 to 4.0.3,973,dependabot/npm_and_yarn/nextcloud/vue-4.0.3,8ae07182fb9ce893b475deb7dca34218ebfcedfc,closed,true,3,28
bot,g59,https://github.com/g59/bot/pull/579,chore(deps): bump redis from 3.1.2 to 4.0.1,579,dependabot/npm_and_yarn/redis-4.0.1,01f25c86e0e5c167adf353b7805d504fa8c73d90,closed,true,5,24
shellhub,shellhub-io,https://github.com/shellhub-io/shellhub/pull/1419,ui: bump eslint-plugin-vue from 7.20.0 to 8.0.3 in /ui,1419,dependabot/npm_and_yarn/ui/eslint-plugin-vue-8.0.3,1c0fe6af7615a0cc8efc2b1b7d1284257f53ba39,closed,true,2,80
plusone,mgansler,https://github.com/mgansler/plusone/pull/227,Bump @nrwl/workspace from 11.6.1 to 12.0.0,227,dependabot/npm_and_yarn/nrwl/workspace-12.0.0,dfddc811cc6a24a63e0c72b2e00056ac4afca989,closed,true,3,48
openapi-clientlib-js,SaxoBank,https://github.com/SaxoBank/openapi-clientlib-js/pull/292,Bump prettier from 1.19.1 to 2.2.1,292,dependabot/npm_and_yarn/prettier-2.2.1,a50af58b43ab69099c89e6f69a573062bd5a8d38,closed,true,2,43
carna,kettil,https://github.com/kettil/carna/pull/416,fix(deps): bump @kettil/eslint-config from 2.5.3 to 3.0.2,416,dependabot/npm_and_yarn/kettil/eslint-config-3.0.2,8bd830a31aea604c803308736bb78d07760af2e5,closed,true,2,25
k9-sak-web,navikt,https://github.com/navikt/k9-sak-web/pull/2105,Bump sinon from 10.0.1 to 11.1.1,2105,dependabot/npm_and_yarn/sinon-11.1.1,7053a10814088878c1022af40a594bbceb541932,closed,true,2,66
common,ilios,https://github.com/ilios/common/pull/1943,Bump ember-concurrency from 1.3.0 to 2.0.0,1943,dependabot/npm_and_yarn/ember-concurrency-2.0.0,8cf16033fc58acf5ebc4492f26d40f27dabdf84b,closed,true,3,87
spotify-music-player,davidNHK,https://github.com/davidNHK/spotify-music-player/pull/1718,chore(deps-dev): bump eslint from 7.32.0 to 8.2.0,1718,dependabot/npm_and_yarn/eslint-8.2.0,14d416f6aa040fbe40dfbc7489090a5ea8324a61,closed,true,2,16
liwi-backend,Wavemind,https://github.com/Wavemind/liwi-backend/pull/13,Bump mathjs from 6.6.5 to 7.5.1,13,dependabot/npm_and_yarn/mathjs-7.5.1,b66bc605b1b2652521cd638d08d27d0ab4b22d4d,closed,true,35,30
govuk-react,govuk-react,https://github.com/govuk-react/govuk-react/pull/818,Bump prettier from 1.19.1 to 2.3.0,818,dependabot/npm_and_yarn/prettier-2.3.0,7b5b380e06db71229cee0ce2374c4f7168f058bf,closed,true,2,64
recalc,tervay,https://github.com/tervay/recalc/pull/71,Bump chart.js from 2.9.4 to 3.0.2,71,dependabot/npm_and_yarn/chart.js-3.0.2,8b404aa6bcd067798825e4b61489369f7e86e565,closed,true,5,18
photos,nextcloud,https://github.com/nextcloud/photos/pull/831,Bump @nextcloud/eslint-config from 5.1.0 to 6.0.0,831,dependabot/npm_and_yarn/nextcloud/eslint-config-6.0.0,c8bbd4376369ef0578ab307ac121c23c0e4759ac,closed,true,2,66
backstage,backstage,https://github.com/backstage/backstage/pull/4647,chore(deps): bump @testing-library/react from 10.4.3 to 11.2.5,4647,dependabot/npm_and_yarn/testing-library/react-11.2.5,42effe47fb09d1de7c8f332ed5c73a6af10839f4,closed,true,2,42
personal-site,thegedge,https://github.com/thegedge/personal-site/pull/6,Bump next from 10.1.3 to 11.1.0,6,dependabot/npm_and_yarn/next-11.1.0,4156c431cc20f888b0896bea0d9a3386403d05c7,closed,true,13,22
orion,inloco,https://github.com/inloco/orion/pull/974,chore(deps-dev): bump eslint-config-react-app from 5.2.1 to 6.0.0,974,dependabot/npm_and_yarn/eslint-config-react-app-6.0.0,788b3c6f8dcd7409bdc7929cf3a92f31bb689d1f,closed,true,3,50
shilangyu.github.io,shilangyu,https://github.com/shilangyu/shilangyu.github.io/pull/224,Bump react-scripts from 3.4.3 to 4.0.3,224,dependabot/npm_and_yarn/react-scripts-4.0.3,22726804fea83163118917cab9cf444ba8ed9a2e,closed,true,4,21
ZeropointBot,Alliance-Reunited,https://github.com/Alliance-Reunited/ZeropointBot/pull/97,Bump discord-player from 4.1.4 to 5.0.1,97,dependabot/npm_and_yarn/discord-player-5.0.1,bc8b7873aae2e0d3f4e3e5c65ae2efd37e38cf4f,closed,true,7,26
ngeo,camptocamp,https://github.com/camptocamp/ngeo/pull/7750,Bump puppeteer from 11.0.0 to 12.0.0,7750,dependabot/npm_and_yarn/puppeteer-12.0.0,903ecb778c7c6d03298fb1f818b4ecaa698a4d38,closed,true,2,76
web-stories-wp,google,https://github.com/google/web-stories-wp/pull/7458,Bump eslint-plugin-testing-library from 3.10.2 to 4.2.1,7458,dependabot/npm_and_yarn/eslint-plugin-testing-library-4.2.1,20f69bd5fe4927ec1d3e0e346c6766d8c130942d,closed,true,8,139
dicty-stock-center,dictyBase,https://github.com/dictyBase/dicty-stock-center/pull/774,chore(deps): bump react-router-dom from 5.3.0 to 6.0.1,774,dependabot/npm_and_yarn/react-router-dom-6.0.1,5642441980959c47224d4c111d9d994d47b43938,closed,true,66,39
web-stories-wp,google,https://github.com/google/web-stories-wp/pull/8408,Bump @wordpress/components from 13.0.1 to 14.2.0,8408,dependabot/npm_and_yarn/wordpress/components-14.2.0,6c3764cdc40af757f35a750182f3640b7a9d11fa,closed,true,3,21
aws-northstar,aws,https://github.com/aws/aws-northstar/pull/73,build(deps-dev): Bump prettier from 1.19.1 to 2.2.1,73,dependabot/npm_and_yarn/prettier-2.2.1,2d7d71166ef9b80983c845bfaf4060d724cf5730,closed,true,2,58
bitcart-admin,bitcartcc,https://github.com/bitcartcc/bitcart-admin/pull/24,Bump eslint-plugin-nuxt from 1.0.0 to 2.0.0,24,dependabot/npm_and_yarn/eslint-plugin-nuxt-2.0.0,7e5dca2aec5944f0a65b88d39aa4397b184c6ef2,closed,true,2,34
fhir-gen,imaware,https://github.com/imaware/fhir-gen/pull/389,chore(deps): bump fishery from 1.4.0 to 2.1.0,389,dependabot/npm_and_yarn/fishery-2.1.0,88d4a92a0c1e55ec59f6eff42b271b8587150aab,closed,true,2,25
parkyes90.github.io,Parkyes90,https://github.com/Parkyes90/parkyes90.github.io/pull/2,Bump eslint from 7.32.0 to 8.4.1,2,dependabot/npm_and_yarn/eslint-8.4.1,7a35998816f00b52baf349fc8bf37139f0e856f8,closed,true,16,126
hackaru-web,hackaru-app,https://github.com/hackaru-app/hackaru-web/pull/956,Bump eslint-plugin-prettier from 3.4.1 to 4.0.0,956,dependabot/npm_and_yarn/eslint-plugin-prettier-4.0.0,066456c64904492ad1af557948ee401c21c3d6ed,closed,true,4,35
recursive-copy-cli,libinvarghese,https://github.com/libinvarghese/recursive-copy-cli/pull/395,chore(deps-dev): bump @types/js-yaml from 3.12.5 to 4.0.0,395,dependabot/npm_and_yarn/develop/types/js-yaml-4.0.0,76790d849fea7b21efb24f5c81c86abfcdf2fd9a,closed,true,3,27
settool-v2,CommanderStorm,https://github.com/CommanderStorm/settool-v2/pull/56,Bump bootstrap from 4.6.0 to 5.0.0,56,dependabot/npm_and_yarn/bootstrap-5.0.0,9fe063ae4c332eb95c67b5705021a72cc0000dbc,closed,true,29,121
airy,airyhq,https://github.com/airyhq/airy/pull/1147,Bump prettier from 1.19.1 to 2.2.1,1147,dependabot/npm_and_yarn/prettier-2.2.1,a7e35248a86e81560c148b4d696701940ec7b6a4,closed,true,4,30
codebase,NeonLaw,https://github.com/NeonLaw/codebase/pull/2056,Bump react-hook-form from 6.15.5 to 7.0.0,2056,dependabot/npm_and_yarn/react-hook-form-7.0.0,74a4b21d41f34801c3e94d3c78ceff758ef8da26,closed,true,6,18
beacon-network-ui,CSCfi,https://github.com/CSCfi/beacon-network-ui/pull/178,Bump eslint-plugin-prettier from 3.4.0 to 4.0.0,178,dependabot/npm_and_yarn/dev/eslint-plugin-prettier-4.0.0,2e2534acb9a05d220b68bbcb2bbb1dc60f8ff883,closed,true,2,41
rcvr-app,railslove,https://github.com/railslove/rcvr-app/pull/117,Bump @emotion/styled from 10.0.27 to 11.3.0,117,dependabot/npm_and_yarn/emotion/styled-11.3.0,348a96f5136ce5663d00e468c562cdaa41e3ccab,closed,true,3,19
node-ldapjs,ldapjs,https://github.com/ldapjs/node-ldapjs/pull/716,Bump tap from 14.11.0 to 15.0.1,716,dependabot/npm_and_yarn/tap-15.0.1,1570e049526fffc47df00615ce48860cf3da77b3,closed,true,4,16
codeql-action,github,https://github.com/github/codeql-action/pull/639,Bump nock from 12.0.3 to 13.1.1,639,dependabot/npm_and_yarn/nock-13.1.1,b47da63f07cfc6386f9039f908529a64ec033d0b,closed,true,3,22
metadata-submitter-frontend,CSCfi,https://github.com/CSCfi/metadata-submitter-frontend/pull/524,Bump react-router-dom from 5.3.0 to 6.0.0,524,dependabot/npm_and_yarn/develop/react-router-dom-6.0.0,02d193e5a86cb0e6eb7f05c1d1510bc7f0e1f835,closed,true,2,19
cudami,dbmdz,https://github.com/dbmdz/cudami/pull/1188,Bump @fisker/prettier-config from 4.1.1 to 5.0.0 in /dc-cudami-editor,1188,dependabot/npm_and_yarn/dc-cudami-editor/fisker/prettier-config-5.0.0,726a64ec1e1248a026c7ea3e8a429ffe0f9ac69d,closed,true,2,53
backstage,backstage,https://github.com/backstage/backstage/pull/4210,chore(deps): bump @typescript-eslint/eslint-plugin from 3.10.1 to 4.14.0,4210,dependabot/npm_and_yarn/typescript-eslint/eslint-plugin-4.14.0,2ab5a75af52dd8fd905df7f3bd002978ebddc578,closed,true,7,19
git-en-boite,SmartBear,https://github.com/SmartBear/git-en-boite/pull/555,Bump eslint-config-prettier from 7.2.0 to 8.1.0,555,dependabot/npm_and_yarn/eslint-config-prettier-8.1.0,1518e8f2cae61fb6cb71734569dc7321672ea026,closed,true,3,16
plusone,mgansler,https://github.com/mgansler/plusone/pull/661,Bump @nestjs/core from 7.6.18 to 8.0.4,661,dependabot/npm_and_yarn/nestjs/core-8.0.4,3871d9741f92db9ff7a4e67c814eda13b7e77fa7,closed,true,4,16
plusone,mgansler,https://github.com/mgansler/plusone/pull/1087,Bump react-router-dom from 5.3.0 to 6.0.0,1087,dependabot/npm_and_yarn/react-router-dom-6.0.0,238b59ddde8583704134a5de68679f73f1d7a357,closed,true,2,16
full-stack-dev,Gi60s,https://github.com/Gi60s/full-stack-dev/pull/9,Bump marked from 1.1.1 to 2.0.0,9,dependabot/npm_and_yarn/marked-2.0.0,5422397d10ae212d1a2d2c73941aa4f2491b8416,closed,true,3,24
mediathread,ccnmtl,https://github.com/ccnmtl/mediathread/pull/3686,Bump cypress from 6.8.0 to 7.1.0,3686,dependabot/npm_and_yarn/cypress-7.1.0,938b3dd9e82bcb63221554a1bef47db706971ba1,closed,true,8,37
urlaubsverwaltung,synyx,https://github.com/synyx/urlaubsverwaltung/pull/2494,Bump tailwindcss from 2.2.19 to 3.0.2,2494,dependabot/npm_and_yarn/tailwindcss-3.0.2,acdc8f942bd74ed4bf6f3a973e0526d5e49078e3,closed,true,9,43
whiskey-flat-days,kernvalley,https://github.com/kernvalley/whiskey-flat-days/pull/203,Bump netlify-cli from 2.70.0 to 3.0.0,203,dependabot/npm_and_yarn/netlify-cli-3.0.0,7799dc6b0196324f51173dc5b1bc363044c6b26c,closed,true,7,29
plaain,jonhue,https://github.com/jonhue/plaain/pull/995,Bump react-router-dom from 5.3.0 to 6.0.2,995,dependabot/npm_and_yarn/react-router-dom-6.0.2,4f509bcf230c1deacbc043edb8aef64c274d9727,closed,true,4,22
ebad-front,informatique-cdc,https://github.com/informatique-cdc/ebad-front/pull/284,Bump angular-resize-event from 2.1.0 to 3.0.2,284,dependabot/npm_and_yarn/angular-resize-event-3.0.2,0befa3c94cdb3d2f3d4aed61f0bb8c10af43510e,closed,true,3,19
prettier,prettier,https://github.com/prettier/prettier/pull/11162,Build(deps): Bump espree from 7.3.1 to 8.0.0,11162,dependabot/npm_and_yarn/espree-8.0.0,1300b1ea2d9fba042307f36979c51442bfed4def,closed,true,11,38
codeql-action,github,https://github.com/github/codeql-action/pull/641,Bump typescript from 3.7.5 to 4.3.5,641,dependabot/npm_and_yarn/typescript-4.3.5,2aa2bede67d9e25c61457093ea1f84b874bcf118,closed,true,3,181
utrecht,nl-design-system,https://github.com/nl-design-system/utrecht/pull/96,build(deps-dev): bump @etchteam/storybook-addon-status from 3.0.2 to 4.0.0,96,dependabot/npm_and_yarn/main/etchteam/storybook-addon-status-4.0.0,fa9c9d67837bd746610ee36b088544737fffdbb0,closed,true,3,28
flowcrypt-browser,FlowCrypt,https://github.com/FlowCrypt/flowcrypt-browser/pull/4095,Bump eslint from 7.32.0 to 8.2.0,4095,dependabot/npm_and_yarn/eslint-8.2.0,83ea6cebd33cc31d5af591d640b6aabe58dae990,closed,true,4,158
backpack-docs,Skyscanner,https://github.com/Skyscanner/backpack-docs/pull/1056,Bump eslint-config-skyscanner from 8.1.0 to 9.0.1,1056,dependabot/npm_and_yarn/eslint-config-skyscanner-9.0.1,c6b01148a3180950b05336bf7b5224643198c0c5,closed,true,2,18
server,nextcloud,https://github.com/nextcloud/server/pull/27281,Bump @nextcloud/router from 1.2.0 to 2.0.0,27281,dependabot/npm_and_yarn/nextcloud/router-2.0.0,229bfcbab56e2de473d2d34bb7d86b5665d4ab35,closed,true,2,142
docs,Z-byte-prog,https://github.com/Z-byte-prog/docs/pull/58,Bump remark-gfm from 2.0.0 to 3.0.0,58,dependabot/npm_and_yarn/remark-gfm-3.0.0,e655abb3720240c9aebb6ee295688847fc39259e,closed,true,66,114
leanup,leanupjs,https://github.com/leanupjs/leanup/pull/208,chore(deps-dev): bump prettier-plugin-svelte from 1.4.2 to 2.0.3,208,dependabot/npm_and_yarn/release/1.0/prettier-plugin-svelte-2.0.3,98c2059eca72de94120c88c5d3b9f4334d5fdef3,closed,true,2,62
github-release-commenter,apexskier,https://github.com/apexskier/github-release-commenter/pull/169,Bump @actions/github from 4.0.0 to 5.0.0,169,dependabot/npm_and_yarn/actions/github-5.0.0,cd6d4de3d1e8126a265e521cb62a57871bebc9b5,closed,true,6,183
mytardis,mytardis,https://github.com/mytardis/mytardis/pull/3130,Bump bootstrap from 4.6.0 to 5.0.2,3130,dependabot/npm_and_yarn/bootstrap-5.0.2,c21f41a0daf28e70c8be8f6fe78c7060526c20e3,closed,true,87,107
teraslice,terascope,https://github.com/terascope/teraslice/pull/3176,build(deps): bump geo-tz from 6.0.2 to 7.0.1,3176,dependabot/npm_and_yarn/geo-tz-7.0.1,ed20c3f832b9b1cc2286f734de390c4661271935,closed,true,3,22
ring-ui,JetBrains,https://github.com/JetBrains/ring-ui/pull/4062,chore(deps-dev): bump stylelint from 13.13.1 to 14.0.1,4062,dependabot/npm_and_yarn/stylelint-14.0.1,c0e524f2507fc91086910ebc0728ded388c08548,closed,true,3,33
LSSM-V.4,LSS-Manager,https://github.com/LSS-Manager/LSSM-V.4/pull/972,⬆️(deps-dev): Bump eslint-plugin-vue from 7.20.0 to 8.0.3,972,dependabot/npm_and_yarn/dev/eslint-plugin-vue-8.0.3,02632c7d50c68c15d9b63b2de0525e38d48052e6,closed,true,3,70
carbon,carbon-design-system,https://github.com/carbon-design-system/carbon/pull/7563,chore(deps): bump gzip-size from 5.1.1 to 6.0.0,7563,dependabot/npm_and_yarn/gzip-size-6.0.0,d45f4661dbaf9278c193f35bff29754a2a59692f,closed,true,6,22
codeql-action,github,https://github.com/github/codeql-action/pull/642,Bump js-yaml from 3.13.1 to 4.1.0,642,dependabot/npm_and_yarn/js-yaml-4.1.0,2a0289b1d8f3bd32a1eab3751b04231c5ea27ea6,closed,true,4,258
HabanaBot,NukeninDark,https://github.com/NukeninDark/HabanaBot/pull/1,Bump discord.js from 12.5.3 to 13.1.0,1,dependabot/npm_and_yarn/discord.js-13.1.0,dd96d6458b57f259bd7dc5bc7a433acd1b734e3c,closed,true,2,1207
experimenter,mozilla,https://github.com/mozilla/experimenter/pull/5297,chore(deps-dev): bump prettier-plugin-organize-imports from 1.1.1 to 2.1.0 in /app,5297,dependabot/npm_and_yarn/app/main/prettier-plugin-organize-imports-2.1.0,6ab28054190a7fba43a4145a5ce0fb783906c205,closed,true,2,36
google-api-typings-generator,Maxim-Mazurok,https://github.com/Maxim-Mazurok/google-api-typings-generator/pull/539,Bump strip-json-comments from 3.1.1 to 4.0.0,539,dependabot/npm_and_yarn/strip-json-comments-4.0.0,4d9e676bb6f5695e66faab73b16f2d20d5b02056,closed,true,7,26
ops-web,informatica-na-presales-ops,https://github.com/informatica-na-presales-ops/ops-web/pull/400,Bump bootstrap from 4.6.0 to 5.0.1,400,dependabot/npm_and_yarn/bootstrap-5.0.1,aee87144acb1e7029a9b84a34de9516ef149b8d0,closed,true,2,80
hint,webhintio,https://github.com/webhintio/hint/pull/4517,Upgrade: Bump eslint-plugin-markdown from 1.0.2 to 2.1.0,4517,dependabot/npm_and_yarn/eslint-plugin-markdown-2.1.0,0e894bc129872888be1313f45a113d2231f6a7b9,closed,true,8,108
doppler-webapp,FromDoppler,https://github.com/FromDoppler/doppler-webapp/pull/1182,chore(deps): bump react-scripts from 3.4.3 to 4.0.1,1182,dependabot/npm_and_yarn/react-scripts-4.0.1,719b76281fda93bca658f2aed384950fad62049e,closed,true,9,37
Neracoos-1-Buoy-App,gulfofmaine,https://github.com/gulfofmaine/Neracoos-1-Buoy-App/pull/1586,Bump react-router-dom from 5.3.0 to 6.0.2,1586,dependabot/npm_and_yarn/react-router-dom-6.0.2,30b2a0af6e9c328b388faf38a9c2d0771c7b3c7c,closed,true,3,20
website,whpu-aa,https://github.com/whpu-aa/website/pull/62,Bump prettier from 1.19.1 to 2.2.1 in /FrontEnd,62,dependabot/npm_and_yarn/FrontEnd/prettier-2.2.1,71c5f3c88aa11afbe47ed20cdddffe9f93a7d1eb,closed,true,2,22
forms,nextcloud,https://github.com/nextcloud/forms/pull/1009,Bump @nextcloud/eslint-config from 5.1.0 to 6.0.0,1009,dependabot/npm_and_yarn/nextcloud/eslint-config-6.0.0,96c05c466199a97e390e568b0f3ca1a10c9bb97a,closed,true,2,26
spreed,nextcloud,https://github.com/nextcloud/spreed/pull/5465,Bump @nextcloud/router from 1.2.0 to 2.0.0,5465,dependabot/npm_and_yarn/nextcloud/router-2.0.0,dc166302d0a81ebbd2febddc32161976832a805f,closed,true,2,24
cloud-portal-webapp,deNBI,https://github.com/deNBI/cloud-portal-webapp/pull/3886,feat(deps-dev): bump eslint-config-airbnb-base from 14.2.1 to 15.0.0,3886,dependabot/npm_and_yarn/dev/eslint-config-airbnb-base-15.0.0,15b46c08855b54c7f6447d68ed9966e42a89aa23,closed,true,28,42
common,ilios,https://github.com/ilios/common/pull/1922,Bump ember-a11y-testing from 3.0.2 to 4.0.0,1922,dependabot/npm_and_yarn/ember-a11y-testing-4.0.0,cafea2009b9a0b0c2fb6b3b97d778b1f2e1e56d3,closed,true,2,30
leon0399.github.io,leon0399,https://github.com/leon0399/leon0399.github.io/pull/23,chore(deps-dev): bump prettier from 1.18.2 to 2.4.0,23,dependabot/npm_and_yarn/prettier-2.4.0,8bdf95034571047b7811ae95b53ea4ec97a746a3,closed,true,2,17
opencollective-frontend,opencollective,https://github.com/opencollective/opencollective-frontend/pull/6356,chore(deps-dev): bump eslint-config-opencollective from 2.2.0 to 3.0.0,6356,dependabot/npm_and_yarn/eslint-config-opencollective-3.0.0,a21c332af800634a68c08c78787b4abc477be503,closed,true,4,22
data-visualizer-app,dhis2,https://github.com/dhis2/data-visualizer-app/pull/1740,chore(deps-dev): bump @dhis2/cli-style from 7.2.2 to 8.4.0,1740,dependabot/npm_and_yarn/master/dhis2/cli-style-8.4.0,c7f1f2a89b36791e899aa67656b8c66d3166d664,closed,true,12,234
codeql-action,github,https://github.com/github/codeql-action/pull/693,Bump @ava/typescript from 1.1.1 to 2.0.0,693,dependabot/npm_and_yarn/ava/typescript-2.0.0,07fa17da87b1094c17f41298e22f5778817f678e,closed,true,4,98
events.kernvalley.us,kernvalley,https://github.com/kernvalley/events.kernvalley.us/pull/247,Bump netlify-cli from 2.70.0 to 3.0.0,247,dependabot/npm_and_yarn/netlify-cli-3.0.0,a4bbda4476c70881501c49c3c805ec9fd90c5881,closed,true,5,16
auth,onedotprojects,https://github.com/onedotprojects/auth/pull/60,Bump highlight.js from 10.7.2 to 11.0.1,60,dependabot/npm_and_yarn/highlight.js-11.0.1,357e02e6b316841957962ae1bbf599644275ecdb,closed,true,58,49
skyblock-api,skyblockstats,https://github.com/skyblockstats/skyblock-api/pull/116,Bump node-fetch from 2.6.1 to 3.0.0,116,dependabot/npm_and_yarn/node-fetch-3.0.0,4f03cb71b30978b277ff292dbddeba182117a7cb,closed,true,6,47
hackaru-desktop,hackaru-app,https://github.com/hackaru-app/hackaru-desktop/pull/805,Bump stylelint-config-prettier from 8.0.2 to 9.0.3,805,dependabot/npm_and_yarn/stylelint-config-prettier-9.0.3,197dc41f73c8409bd0d562ed55b60ceddac95a7f,closed,true,2,21
phy211,walterfreeman,https://github.com/walterfreeman/phy211/pull/4,Bump node-sass from 3.3.3 to 4.14.1 in /reveal.js,4,dependabot/npm_and_yarn/reveal.js/node-sass-4.14.1,62220848c320b512d1a758a1f417864e8047be5b,closed,true,16,54
